source,target
10431,6614
10431,63918
10431,146307
10431,7166
73357,207558
73357,1390505
73357,2441
73357,15576
5469,4529
5469,13333
5469,2598
5469,3896
5469,2282
5469,11279
5469,80860
1291350,1136406
1291350,505710
1291350,1643142
47646,20049
47646,47933
47646,34546
47646,7063
59620,2440
1108724,78333
1108724,57096
1108724,1211217
10989,4391
1923,21345
1923,12094
1923,53519
1923,107602
1923,9188
1923,477
1923,118608
116341,102786
116341,1181293
116341,556903
116341,115863
116341,3125
116341,3896
116341,1846217
116341,1104726
116341,44549
116341,1490
116341,84678
116341,1523586
116341,46432
116341,112035
116341,1725875
116341,1241252
116341,18977
116341,12219
116341,1248913
116341,112200
116341,34521
116341,1215120
116341,501362
116341,470303
116341,68842
116341,1074129
116341,2066306
116341,173729
116341,1700943
116341,938972
116341,1236595
7487,1182652
7487,1182651
7487,1289529
7487,206581
7487,1220629
7487,13604
7487,112940
7487,24937
7487,193488
7487,3894
7487,6968
7487,3895
7487,84527
7487,928828
7487,71252
7487,108126
7487,107210
7487,2778
7487,5602
7487,5281
47990,1483
47990,1046723
47990,220875
47990,1226069
47990,12094
47990,4286
47990,72254
47990,96074
47990,982
47990,1665140
1829413,1400290
10592,18632
10592,2030027
10592,2033613
10592,91431
10592,1046088
10592,146964
10592,1171032
10592,1190206
10593,22861
10593,10594
10593,1487
10593,84678
10593,40176
55466,16866
558240,120931
558240,1164486
558240,121003
558240,1234063
558240,10132
558240,30609
558240,237
8968,97884
8968,1797181
8968,1797182
8968,117555
8968,1207229
8968,141317
80535,16165
80535,34902
80535,142750
80535,142751
80535,226001
80535,76594
80535,1059011
80535,1164263
80535,29704
80535,1913149
47632,39658
47632,973
47632,974
47632,975
2585,46392
2585,1428
2585,118421
2585,118422
2585,22860
2585,1430
2585,1171675
2585,44999
2585,95486
2585,110001
2585,85930
2585,90388
2585,107602
2585,592587
2585,107209
2585,184306
2585,1228004
100183,185013
13745,86390
13745,86385
13745,1120068
62644,1072976
62644,1073001
32362,111402
32362,111404
32362,1160640
32362,191275
32362,1160641
32362,111403
58198,5621
58198,5620
108661,214830
108661,1070445
108661,1070443
9315,2209240
9315,2426776
9315,141289
9315,9316
9315,80892
9315,80894
9315,1088666
9315,1515687
1135272,39121
822,4587
822,110380
822,9780
822,819
822,820
822,821
20879,6168
2632,57446
2632,2157
2632,181975
2632,82587
2632,78029
2632,15899
2632,13472
2632,97260
2632,212208
2632,14
2632,1289968
2632,44796
2632,9780
2632,77896
5726,15535
5726,86655
943183,1741659
19742,1107983
19742,52057
19742,110380
19742,14386
19742,84932
19742,1214573
2047,1204610
2047,1027445
2047,65398
2047,2390
2047,58493
2047,3036
2047,5294
2047,20904
2047,157963
16828,1172108
16828,30083
16828,11090
16828,39995
16828,18793
3223,10850
3223,564
3223,584
134,135651
134,60073
134,8851
134,979952
134,84445
134,197833
27319,49205
27319,1178282
27319,1846
27319,53109
27319,20016
6193,103
6193,2282
6193,24045
6193,27578
6193,21007
6193,234352
113674,1121
113674,543530
113674,10850
10850,55499
10850,7626
10850,1245564
44038,2115
44038,66776
44038,71010
35705,561869
35705,62649
35705,50463
35705,12021
35705,9278
35705,63
35705,113505
35705,1819889
103,9048
103,7624
103,91606
103,20212
103,76546
103,95468
16767,1548675
16767,2533102
16767,1548646
1188684,18565
1188684,17496
287,192
287,12052
287,819
287,1283
287,5294
287,17288
287,1267329
19119,26887
19119,40266
19119,44560
19119,1548355
19119,1548356
1169636,1278363
1169636,150193
71538,437100
71538,33260
71538,81663
12898,35219
12898,31
12898,7879
31,32
31,33
31,52
31,5149
31,1892
31,3197
31,24
31,28
11770,11813
11770,15406
11770,14692
11770,8944
11770,14999
11770,2476121
11770,2291380
11770,511
11770,4955
11770,11357
11770,3027
11770,131120
11770,6856
11770,11065
11770,15411
515,44712
515,2056726
515,66776
515,40389
515,5699
4,2165
4,26860
4,2
4,3
4,10930
4,2140901
3799,437100
3799,33260
3799,15152
3799,52057
3799,1897169
3799,45042
3799,553721
3799,1789239
130,4173
130,5049
130,10774
33185,14464
33185,92876
33185,12446
33185,11281
33185,40960
33185,207067
33185,937
33185,8223
6968,505710
6968,1587566
6968,28745
6968,39923
6968,231664
6968,15838
6968,231713
6968,6431
6968,9546
17142,11856
17142,52564
69597,2240369
69597,82280
162339,21049
69899,962225
69899,95038
13636,59784
13636,12077
11076,13242
11076,10872
11076,7090
11076,52951
11076,1041277
11076,1041278
11076,1041279
11076,1230
11076,20493
49827,77018
49827,1037398
49827,1722123
1748,64825
1748,149589
1748,2372
1748,143240
1748,97772
1748,15417
1748,16927
1748,12147
1748,13784
1748,12149
1748,112219
1748,112217
1748,53862
1748,16478
1748,160172
1748,1947
1748,62578
1749,8258
1749,60438
1159,94792
1159,1181353
1159,131273
1159,70569
1160,510
1160,85
1160,44999
1160,776
148251,78707
148251,7542
148251,55794
148251,1468163
4959,5676
4959,5682
4959,2369
4959,14812
4959,106179
4959,78934
4959,4958
4959,3784
4959,20564
4959,27442
4959,39274
4959,12259
4959,27392
4959,27642
4959,22383
4959,120640
4959,1073982
4959,3829
4959,1098404
4959,15135
4959,6014
4959,1061561
4959,1018937
